"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,MEEF-PIF,"Master MEEF - PIF - INSPÉ","<p dir=""ltr"" style=""text-align:left;""></p><h1>MASTER MÉTIERS DE L'ENSEIGNEMENT, DE L'ÉDUCATION ET DE LA FORMATION (MEEF), PRATIQUES ET INGÉNIERIE DE LA FORMATION</h1><p><a href=""https://inspe.univ-amu.fr/fr/formations/master-meef-pratiques-et-ingenierie-formation"" target=""_blank"" rel=""noreferrer noopener"">https://inspe.univ-amu.fr/fr/formations/master-meef-pratiques-et-ingenierie-formation</a></p><h2>PARCOURS</h2><ul><li><a href=""https://inspe.univ-amu.fr/fr/formations/master-meef-pratiques-et-ingenierie-formation?code=PRRPF5AA""><b>PRRPF5AA</b> Parcours : Métiers de la recherche et de l’expertise en éducation</a></li><li><a href=""https://inspe.univ-amu.fr/fr/formations/master-meef-pratiques-et-ingenierie-formation?code=PRRPF5AB""><b>PRRPF5AB</b> Parcours : Responsable de Formation</a></li><li><a href=""https://inspe.univ-amu.fr/fr/formations/master-meef-pratiques-et-ingenierie-formation?code=PRRPF5AC""><b>PRRPF5AC</b> Parcours : Rédacteur professionnel</a></li><li><a href=""https://inspe.univ-amu.fr/fr/formations/master-meef-pratiques-et-ingenierie-formation?code=PRRPF5AD""><b>PRRPF5AD</b> Parcours : Conception et management de formations en hygiène sécurité et développement</a></li><li><a href=""https://inspe.univ-amu.fr/fr/formations/master-meef-pratiques-et-ingenierie-formation?code=PRRPF5NE""><b>PRRPF5NE</b> Parcours : Ingénierie pédagogique numérique</a></li></ul><br /><br /><p></p>",1,"Novice,Intermédiaire,Compétent,Avancé","[{""scaleid"":""344""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":3,""scaledefault"":0,""proficient"":1},{""id"":4,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,MEEF-AM1,AM1,"<p dir=""ltr"" style=""text-align:left;""><span>Fonde son action sur les principes réglementaires et les enjeux institutionnels et sociétaux</span><br /></p>",1,,,,0,null,,348,,
MEEF-AM1,MEEF-AM1-N1,"⭐ Novice","<p dir=""ltr"" style=""text-align:left;"">Applique le cadre qui lui est fixé pour exercer les compétences visées mais n’est pas en mesure d’opérer, de manière intentionnelle et récurrente, des choix pertinents dans les situations professionnelles rencontrées. Il en appréhende les principaux éléments mais il a besoin de soutien ou de conseil pour construire son enseignement ou ajuster son comportement de manière autonome et responsable.<br /></p>",1,,,,0,null,,349,,
MEEF-AM1,MEEF-AM1-N2,"⭐⭐ Intermédiaire","Maîtrise suffisamment les bases des compétences visées pour agir de façon autonome, anticiper et faire les choix professionnels appropriés. La pertinence de son travail est repérée dans la plupart des situations qu’il rencontre, ainsi que sa déontologie et sa capacité à s’autoévaluer pour améliorer sa pratique.",1,,,,0,null,,350,,
MEEF-AM1,MEEF-AM1-N3,"⭐⭐⭐ Compétent","Exerce les compétences visées de manière combinée avec efficacité sur la durée. Il opère les choix pertinents et les met en oeuvre de manière efficace et adaptée à la situation professionnelle rencontrée, y compris une situation imprévisible.",1,,,,0,null,,351,,
MEEF-AM1,MEEF-AM1-N4,"⭐⭐⭐⭐ Avancé","<p dir=""ltr"" style=""text-align:left;"">Démontre la capacité à mobiliser les compétences visées de manière inter-reliée pour appréhender et gérer un contexte professionnel complexe, à faire preuve d’ingéniosité pédagogique pour faire évoluer le cadre dans le respect des principes éthiques.<br /></p>",1,,,,0,null,,352,,
,MEEF-AM2,AM2,"<p dir=""ltr"" style=""text-align:left;""><span>Intègre une dimension évaluative à l’ensemble de son action en ayant le souci d’en mesurer l’efficacité</span><br /></p>",1,,,,0,null,,353,,
MEEF-AM2,MEEF-AM2-N1,"⭐ Novice","<p dir=""ltr"" style=""text-align:left;"">Applique le cadre qui lui est fixé pour exercer les compétences visées mais n’est pas en mesure d’opérer, de manière intentionnelle et récurrente, des choix pertinents dans les situations professionnelles rencontrées. Il en appréhende les principaux éléments mais il a besoin de soutien ou de conseil pour construire son enseignement ou ajuster son comportement de manière autonome et responsable.<br /></p>",1,,,,0,null,,354,,
MEEF-AM2,MEEF-AM2-N2,"⭐⭐ Intermédiaire","<p dir=""ltr"" style=""text-align:left;"">Maîtrise suffisamment les bases des compétences visées pour agir de façon autonome, anticiper et faire les choix professionnels appropriés. La pertinence de son travail est repérée dans la plupart des situations qu’il rencontre, ainsi que sa déontologie et sa capacité à s’autoévaluer pour améliorer sa pratique.<br /></p>",1,,,,0,null,,355,,
MEEF-AM2,MEEF-AM2-N3,"⭐⭐⭐ Compétent","<p dir=""ltr"" style=""text-align:left;"">Exerce les compétences visées de manière combinée avec efficacité sur la durée. Il opère les choix pertinents et les met en oeuvre de manière efficace et adaptée à la situation professionnelle rencontrée, y compris une situation imprévisible.<br /></p>",1,,,,0,null,,356,,
