Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,BCC-NEO,Master NEO MEEF PIF IPN,"<div class=""container text-center p-3"" style=""background: white;""><img src=""https://ismail-badache.pedaweb.univ-amu.fr/extranet/neo/assets/img/Neo-IPN-logo_yoyo_555.gif"" alt=""Logo NEO cr&eacute;&eacute; par Guillaume Martin-Taton"" width=""150"">
<div class=""card"">
<div class=""card-body"" style=""text-align: justify;"">
<h2 style=""text-align: center;"">Master M&eacute;tiers de l&rsquo;Enseignement, de l&rsquo;&Eacute;ducation et de la Formation (MEEF)</h2>
<h3 style=""text-align: center;"">Mention Pratiques et Ing&eacute;nierie de la Formation (PIF)</h3>
<h4 style=""text-align: center;"">Parcours Ing&eacute;nierie P&eacute;dagogique Num&eacute;rique (IPN)</h4>
<p style=""text-align: center;""><strong>NEO</strong></p>
<hr>
<pre style=""text-align: right;"">FORMATION &Agrave; DISTANCE</pre>
<blockquote>
<p>Une semaine de regroupement en pr&eacute;sentiel sur le campus de Saint-J&eacute;r&ocirc;me d&eacute;but octobre Conception participative en Approche Par Comp&eacute;tences.</p>
<p>Ouverture du <strong>M1</strong> depuis <strong>2021</strong>, ouverture du <strong>M2</strong> depuis <strong>2022</strong>.</p>
</blockquote>
</div>
</div>
</div>
<p>&nbsp;</p>
<div class=""card-footer text-muted small""><a href=""https://url.univ-amu.fr/parcours-neo"" target=""_blank"" rel=""noopener"">https://url.univ-amu.fr/parcours-neo</a></div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,practice,level,indicator"
,BCC-NEO-C1,✊ ACCOMPAGNEMENT,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #eab819;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd>✊ <strong>COMP&Eacute;TENCE</strong></kbd><br><strong>ACCOMPAGNER </strong>la mise en oeuvre d'une p&eacute;dagogie num&eacute;rique innovante, qui int&egrave;gre les processus psychologiques des &eacute;tudiants et promeut une approche inclusive.</p>
</div>
</div>
<div class=""alert alert-success"">
<h1>📚 Connaissances</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-success list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">&nbsp;</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action""><strong>en </strong>...</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">&nbsp;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
</ol>
</div>
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<table style=""border-collapse: collapse; width: 100%; height: 71.5938px; background-color: #000000; margin-left: auto; margin-right: auto; border: 3px none #000000;"" border=""1"">
<tbody>
<tr style=""height: 44.5938px;"">
<th style=""border-color: #000000; text-align: right; border-width: 3px; padding: 3px;"" colspan=""4"">
<h3 style=""text-align: center;""><span style=""font-size: 18pt; color: #ffffff;"">NIVEAU D'ACQUISITION</span></h3>
</th>
</tr>
<tr style=""height: 27px;"">
<td style=""border-color: #000000; text-align: center; background-color: #ffcfc9; border-width: 3px; padding: 3px; vertical-align: top;"">
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;"">0️⃣ <kbd><strong>Non acquis</strong></kbd>&nbsp;<code>❌❌</code></span></p>
</td>
<td style=""border-color: #000000; text-align: center; background-color: #ffc8aa; border-width: 3px; padding: 3px; vertical-align: top;"">
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;"">1️⃣&nbsp;<kbd><strong>Insuffisant</strong></kbd>&nbsp;<code>❌</code></span></p>
</td>
<td style=""border-color: #000000; text-align: center; background-color: #d4edbc; border-width: 3px; padding: 3px; vertical-align: top;"">
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;"">2️⃣ <kbd><strong>Acquis</strong></kbd>&nbsp;<code>✅</code></span></p>
</td>
<td style=""border-color: #000000; text-align: center; background-color: #e6cff2; border-width: 3px; padding: 3px; vertical-align: top;"">
<p><span style=""font-size: 10pt;"">3️⃣&nbsp;<kbd><strong>Ma&icirc;tris&eacute;</strong></kbd>&nbsp;<code>✅✅</code></span></p>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
,BCC-NEO-C2,✊ CONCEPTION,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #0066cc;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd>✊ <strong>COMP&Eacute;TENCE</strong></kbd><br><strong>CONCEVOIR</strong> des parcours, des formations et des ressources p&eacute;dagogiques multimodales, optimis&eacute;s et enrichis par l&rsquo;intelligence artificielle g&eacute;n&eacute;rative (IAg), dans le respect d&rsquo;uneapproche &eacute;thique et responsable.</p>
</div>
</div>
<div class=""alert alert-success"">
<h1>📚 Connaissances</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-success list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">&nbsp;</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action""><strong>en </strong>...</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">&nbsp;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
</ol>
</div>
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<table style=""border-collapse: collapse; width: 100%; height: 71.5938px; background-color: #000000; margin-left: auto; margin-right: auto; border: 3px none #000000;"" border=""1"">
<tbody>
<tr style=""height: 44.5938px;"">
<th style=""border-color: #000000; text-align: right; border-width: 3px; padding: 3px;"" colspan=""4"">
<h3 style=""text-align: center;""><span style=""font-size: 18pt; color: #ffffff;"">NIVEAU D'ACQUISITION</span></h3>
</th>
</tr>
<tr style=""height: 27px;"">
<td style=""border-color: #000000; text-align: center; background-color: #ffcfc9; border-width: 3px; padding: 3px; vertical-align: top;"">
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;"">0️⃣ <kbd><strong>Non acquis</strong></kbd>&nbsp;<code>❌❌</code></span></p>
</td>
<td style=""border-color: #000000; text-align: center; background-color: #ffc8aa; border-width: 3px; padding: 3px; vertical-align: top;"">
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;"">1️⃣&nbsp;<kbd><strong>Insuffisant</strong></kbd>&nbsp;<code>❌</code></span></p>
</td>
<td style=""border-color: #000000; text-align: center; background-color: #d4edbc; border-width: 3px; padding: 3px; vertical-align: top;"">
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;"">2️⃣ <kbd><strong>Acquis</strong></kbd>&nbsp;<code>✅</code></span></p>
</td>
<td style=""border-color: #000000; text-align: center; background-color: #e6cff2; border-width: 3px; padding: 3px; vertical-align: top;"">
<p><span style=""font-size: 10pt;"">3️⃣&nbsp;<kbd><strong>Ma&icirc;tris&eacute;</strong></kbd>&nbsp;<code>✅✅</code></span></p>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
,BCC-NEO-C3,✊ PILOTAGE,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #cf2f44;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd>✊ <strong>COMP&Eacute;TENCE</strong></kbd><br><strong>PILOTER</strong> des projets d&rsquo;ing&eacute;nierie p&eacute;dagogique ax&eacute;s sur l'innovation num&eacute;rique, mobilisant connaissances et techniques dans un environnement professionnel, avec une vision strat&eacute;gique, communicante et collaborative.</p>
</div>
</div>
<div class=""alert alert-success"">
<h1>📚 Connaissances</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-success list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">&nbsp;</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action""><strong>en </strong>...</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">&nbsp;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
</ol>
</div>
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<table style=""border-collapse: collapse; width: 100%; height: 71.5938px; background-color: #000000; margin-left: auto; margin-right: auto; border: 3px none #000000;"" border=""1"">
<tbody>
<tr style=""height: 44.5938px;"">
<th style=""border-color: #000000; text-align: right; border-width: 3px; padding: 3px;"" colspan=""4"">
<h3 style=""text-align: center;""><span style=""font-size: 18pt; color: #ffffff;"">NIVEAU D'ACQUISITION</span></h3>
</th>
</tr>
<tr style=""height: 27px;"">
<td style=""border-color: #000000; text-align: center; background-color: #ffcfc9; border-width: 3px; padding: 3px; vertical-align: top;"">
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;"">0️⃣ <kbd><strong>Non acquis</strong></kbd>&nbsp;<code>❌❌</code></span></p>
</td>
<td style=""border-color: #000000; text-align: center; background-color: #ffc8aa; border-width: 3px; padding: 3px; vertical-align: top;"">
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;"">1️⃣&nbsp;<kbd><strong>Insuffisant</strong></kbd>&nbsp;<code>❌</code></span></p>
</td>
<td style=""border-color: #000000; text-align: center; background-color: #d4edbc; border-width: 3px; padding: 3px; vertical-align: top;"">
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;"">2️⃣ <kbd><strong>Acquis</strong></kbd>&nbsp;<code>✅</code></span></p>
</td>
<td style=""border-color: #000000; text-align: center; background-color: #e6cff2; border-width: 3px; padding: 3px; vertical-align: top;"">
<p><span style=""font-size: 10pt;"">3️⃣&nbsp;<kbd><strong>Ma&icirc;tris&eacute;</strong></kbd>&nbsp;<code>✅✅</code></span></p>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
,BCC-NEO-C4,✊ EXPERTISE ET RECHERCHE,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #00693c;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd>✊ <strong>COMP&Eacute;TENCE</strong></kbd><br><strong>D&Eacute;VELOPPER</strong> l&rsquo;expertise pour agir en praticien r&eacute;flexif avec une d&eacute;marche scientifiquement&nbsp;construite.</p>
</div>
</div>
<div class=""alert alert-success"">
<h1>📚 Connaissances</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-success list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">&nbsp;</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action""><strong>en </strong>...</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">&nbsp;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
</ol>
</div>
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<table style=""border-collapse: collapse; width: 100%; height: 71.5938px; background-color: #000000; margin-left: auto; margin-right: auto; border: 3px none #000000;"" border=""1"">
<tbody>
<tr style=""height: 44.5938px;"">
<th style=""border-color: #000000; text-align: right; border-width: 3px; padding: 3px;"" colspan=""4"">
<h3 style=""text-align: center;""><span style=""font-size: 18pt; color: #ffffff;"">NIVEAU D'ACQUISITION</span></h3>
</th>
</tr>
<tr style=""height: 27px;"">
<td style=""border-color: #000000; text-align: center; background-color: #ffcfc9; border-width: 3px; padding: 3px; vertical-align: top;"">
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;"">0️⃣ <kbd><strong>Non acquis</strong></kbd>&nbsp;<code>❌❌</code></span></p>
</td>
<td style=""border-color: #000000; text-align: center; background-color: #ffc8aa; border-width: 3px; padding: 3px; vertical-align: top;"">
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;"">1️⃣&nbsp;<kbd><strong>Insuffisant</strong></kbd>&nbsp;<code>❌</code></span></p>
</td>
<td style=""border-color: #000000; text-align: center; background-color: #d4edbc; border-width: 3px; padding: 3px; vertical-align: top;"">
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;"">2️⃣ <kbd><strong>Acquis</strong></kbd>&nbsp;<code>✅</code></span></p>
</td>
<td style=""border-color: #000000; text-align: center; background-color: #e6cff2; border-width: 3px; padding: 3px; vertical-align: top;"">
<p><span style=""font-size: 10pt;"">3️⃣&nbsp;<kbd><strong>Ma&icirc;tris&eacute;</strong></kbd>&nbsp;<code>✅✅</code></span></p>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C1,BCC-NEO-C1-P1,🔨 Mobiliser les fondements théoriques et méthodologiques,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #eab819;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Mobilise </strong>les fondements th&eacute;oriques et m&eacute;thodologiques de l&rsquo;accompagnement de l&rsquo;apprentissage chez l'adulte.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C1,BCC-NEO-C1-P2,🔨 Définir des dispositifs,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #eab819;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>D&eacute;finit </strong>des dispositifs p&eacute;dagogiques num&eacute;riques inclusifs et accessibles.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C1,BCC-NEO-C1-P3,🔨 Identifier et accompagne les résistances au changement,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #eab819;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Identifie </strong>et <strong>accompagne</strong> les r&eacute;sistances au changement dans l'adoption de nouvelles pratiques p&eacute;dagogiques.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C1,BCC-NEO-C1-P4,🔨 Élaborer un projet de formation,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #eab819;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>&Eacute;labore </strong>un projet de formation en lien avec l&rsquo;ing&eacute;nierie de formation et l&rsquo;approche par comp&eacute;tences (APC).</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C1,BCC-NEO-C1-P5,🔨 Adopter une approche critique et éthique,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #eab819;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Adopte </strong>une approche critique et &eacute;thique dans l&rsquo;utilisation des technologies.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
