"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,PIX-CN,"Compétences Numériques (PIX)","<p dir=""ltr"" style=""text-align:left;""></p><p dir=""ltr"">Compétences numériques adaptées du modèles Pix.</p><p dir=""ltr"">https://pix.fr/competences/</p><p dir=""ltr"">https://eduscol.education.fr/document/20392/download<br /></p><p dir=""ltr"">https://eduscol.education.fr/document/20395/download<br /></p><br /><p></p>",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"domain,competency,level,behaviour"
,PIX-D1,"INFORMATION & DONNÉES","<p dir=""ltr"" style=""text-align:left;"">concerne la recherche et la veille d'information, la gestion et le
traitement des données<br /></p>",1,,,,0,null,,57,,
PIX-D1,PIX-D1-C1,"Mener une recherche ou une veille d’information","<p dir=""ltr"" style=""text-align:left;""></p><p>Mener une recherche et une veille d’information pour répondre à un besoin d’information et se tenir au courant de l’actualité d’un sujet (avec un moteur de recherche, au sein d’un réseau social, par abonnement à des flux ou des lettres d’information, ou tout autre moyen).</p><h4>THÉMATIQUES ASSOCIÉES</h4><p>Web et navigation ; Moteur de recherche et requête ; Veille d’information, flux et curation ; Evaluation de l’information ; Source et citation ; Gouvernance d’internet et ouverture du web ; Abondance de l’information, filtrage et personnalisation ; Recul critique face à l’information et aux médias ; Droit d’auteur.</p><br /><p></p>",1,,,,0,null,,62,,
PIX-D1-C1,PIX-D1-C1-L1,"Niveau 1","<p dir=""ltr"" style=""text-align:left;""></p><h3>Novice</h3><p></p><pre>""Même si vous avez besoin d'un petit coup de main de temps en temps, les premières bases sont là.""</pre>L'individu est capable de réaliser des actions élémentaires associées aux situations les plus courantes.<p></p><p dir=""ltr"" style=""text-align:left;"">Il peut appliquer une procédure simple en étant guidé, et en ayant parfois recours à l'aide d'un tiers.</p>",1,,,"core_competency\competency_rule_all",2,null,,78,,
PIX-D1-C1-L1,PIX-D1-C1-L1-B1,"Lire et repérer des informations sur un support numérique ",,1,,,,0,null,,79,,
PIX-D1-C1-L1,PIX-D1-C1-L1-B2,"Effectuer une recherche simple en ligne en utilisant un moteur de recherche",,1,,,,0,null,,80,,
PIX-D1-C1,PIX-D1-C1-L2,"Niveau 2","<p dir=""ltr"" style=""text-align:left;""></p><h3>Novice</h3><pre>Les bases sont acquises, il ne vous manque pas grand-chose pour être autonome.
</pre><p>L'individu est capable de réaliser des actions élémentaires associées aux situations les plus courants.</p><p>Il peut appliquer seul une procédure simple tant que ne survient pas de difficulté.</p><p>Il cherche des solutions avec d'autres lorsqu'il est confronté à des imprévus.</p><p>Il peut réponde ponctuellement à une demande d'aide.</p><br /><p></p>",1,,,,0,null,,82,,
PIX-D1-C1-L2,PIX-D1-C1-L2-B1,"Reformuler sa requête en modifiant les mots-clés pour obtenir de meilleurs résultats",,1,,,,0,null,,85,,
PIX-D1-C1-L2,PIX-D1-C1-L2-B2,"Questionner la fiabilité et la pertinence des sources",,1,,,,0,null,,86,,
PIX-D1-C1,PIX-D1-C1-L3,"Niveau 3","<p dir=""ltr"" style=""text-align:left;""></p><h3>Indépendant</h3><pre>Même seul, vous vous en sortez bien dans des situations habituelles.</pre><p>L'individu est capable de réaliser des actions simples dans la plupart des situations courantes.</p><p>Il peut élaborer de façon autonome une procédure pour accomplir une de ces actions.</p><br /><p></p>",1,,,,0,null,,87,,
PIX-D1-C1-L3,PIX-D1-C1-L3-B1,"Effectuer une recherche dans des environnements numériques divers",,1,,,,0,null,,88,,
PIX-D1-C1-L3,PIX-D1-C1-L3-B2,"Expliquer sa stratégie de recherche",,1,,,,0,null,,89,,
PIX-D1-C1-L3,PIX-D1-C1-L3-B3,"Connaître les principaux critères permettant d’évaluer la fiabilité et la pertinence de diverses sou",,1,,,,0,null,,90,,
PIX-D1-C1,PIX-D1-C1-L4,"Niveau 4","<p dir=""ltr"" style=""text-align:left;""></p><h3>Indépendant</h3><pre><span style=""font-size:0.9375rem;"">Vous êtes autonome dans toutes les situations courantes. Le monde du numérique s'offre à vous !</span></pre><p>L'individu est capable de réaliser des actions simples dans toutes les situations courantes.</p><p>Il peut élaborer de façon autonome une précdure adaptée et l'appliquer efficacement pour accomplir une de ces actions.</p><p>Il peut venir en aide à d'autres selon une modalité d'entraide informelle.</p><br /><p></p>",1,,,,0,null,,91,,
PIX-D1-C1-L4,PIX-D1-C1-L4-B1,"Construire une stratégie de recherche en fonction de ses besoins et de ses centres d’intérêt",,1,,,,0,null,,93,,
PIX-D1-C1-L4,PIX-D1-C1-L4-B2,"Utiliser des options de recherche avancées pour obtenir les meilleurs résultats",,1,,,,0,null,,94,,
PIX-D1-C1-L4,PIX-D1-C1-L4-B3,"Évaluer la fiabilité et la pertinence de diverses sources",,1,,,,0,null,,95,,
PIX-D1-C1,PIX-D1-C1-L5,"Niveau 5","<p dir=""ltr"" style=""text-align:left;""></p><h3>Avancé</h3><pre>Vous êtes à l'aise avec le numérique, même en dehors des sentiers battus.<br /></pre><p>L'individu est capable de mettre en oeuvre des pratiques avancées dans des situations nouvelles pour lui, ou imposant un cadre d'exigence particulier. </p><p>Il peut choisir une démarche adaptée pour atteindre son but, parmi des approches déjà établies.<br /></p><br /><p></p>",1,,,,0,null,,92,,
PIX-D1-C1-L5,PIX-D1-C1-L5-B1,"Constituer une documentation sur un sujet : sélectionner des sources, citer les sources, élaborer...","<p dir=""ltr"" style=""text-align:left;"">Constituer une documentation sur un
sujet : sélectionner des sources, citer les
sources, élaborer une sitographie<br /></p>",1,,,,0,null,,96,,
PIX-D1-C1-L5,PIX-D1-C1-L5-B2,"Utiliser un ou plusieurs logiciels spécialisés pour mettre en place une veille",,1,,,,0,null,,97,,
PIX-D1-C1,PIX-D1-C1-L6,"Niveau 6","<p dir=""ltr"" style=""text-align:left;""></p><h3>Avancé</h3><pre>Très bon niveau de maîtrise, on vous demande souvent des coups de main, non ?<br /></pre>L'individu est capable de mettre en œuvre des pratiques avancées dans des situations nouvelles pour lui, ou imposant un cadre d'exigence particulier.<br /><br />Il peut concevoir et mettre en oeuvre une démarche adaptée pour atteindre son but, en combinant de façon créative les solutions existantes.<br /><br />Il peut transmettre avec aisance ses compétences à d'autres. <br /><p></p>",1,,,,0,null,,107,,
PIX-D1-C1,PIX-D1-C1-L7,"Niveau 7","<p dir=""ltr"" style=""text-align:left;""></p><h3>Expert</h3><pre>Une situation inédite, imprévisible ou contraignante ? Rien ne vous résiste ! Vous mobilisez le numérique de façon originale et élaborez vos propres solutions<br /></pre><p>L'individu est capable de mettre en œuvre des pratiques complexes dans des situations potentiellement inédites, imprévisibles ou contraignantes. </p><p>Il peut analyser un besoin et élaborer une solution mobilisant le numérique de façon originale pour y répondre . </p><p></p>",1,,,,0,null,,108,,
PIX-D1-C1,PIX-D1-C1-L8,"Niveau 8","<p dir=""ltr"" style=""text-align:left;""></p><h3>Expert</h3><pre>Non seulement vous mobilisez le numérique de façon originale et élaborez de nouvelles solutions, mais vous les proposez même à vos pairs qui les utilisent ! Quel expert ;)<br /></pre><p>L'individu est capable de mettre en oeuvre des pratiques complexes dans des situations potentiellement, inédites, imprévisibles ou contraignantes. </p><p>Il peut analyser un besoin et élaborer une solution mobilisant le numérique de façon originale pour y répondre. </p><p>Il met ses productions numériques à la disposition d'autres, qui les utilisent, traduisant ainsi son rayonnement et son influence dans la sphère numérique.</p><p></p>",1,,,,0,null,,109,,
PIX-D1,PIX-D1-C2,"Gérer des données ","<p dir=""ltr"" style=""text-align:left;""></p><p>Stocker et organiser des données pour les retrouver, les conserver et en faciliter l’accès et la gestion (avec un gestionnaire de fichiers, un espace de stockage en ligne, des tags, des classeurs, des bases de données, un système d’information, etc.).</p><h4>THÉMATIQUES ASSOCIÉES</h4><p>Dossier et fichier ; Stockage et compression ; Transfert et synchronisation ; Recherche et méta-données ; Indexation sémantique et libellé (tag) ; Structuration des données ; Système d’information ; Localisation des données et droit applicable ; Modèles et stratégies économiques ; Sécurité du système d’information.</p><br /><p></p>",1,,,,0,null,,63,,
PIX-D1-C2,PIX-D1-C2-L1,"Niveau 1",,1,,,,0,null,,83,,
PIX-D1-C2-L1,PIX-D1-C2-L1-B1,"Sauvegarder des fichiers dans l’ordinateur utilisé et les retrouver",,1,,,,0,null,,84,,
PIX-D1-C2,PIX-D1-C2-L2,"Niveau 2",,1,,,,0,null,,81,,
PIX-D1-C2,PIX-D1-C2-L3,"Niveau 3",,1,,,,0,null,,98,,
PIX-D1-C2,PIX-D1-C2-L4,"Niveau 4",,1,,,,0,null,,99,,
PIX-D1-C2,PIX-D1-C2-L5,"Niveau 5",,1,,,,0,null,,100,,
PIX-D1,PIX-D1-C3,"Traiter des données","<p dir=""ltr"" style=""text-align:left;""></p><h3><span style=""font-size:0.9375rem;"">Appliquer des traitements à des données pour les analyser et les interpréter (avec un tableur, un programme, un logiciel de traitement d’enquête, une requête calcul dans une base de données, etc.).</span><br /></h3><h4>THÉMATIQUES ASSOCIÉES</h4><p>Données quantitatives, type et format de données ; Calcul, traitement statistique et représentation graphique ; Flux de données ; Collecte et exploitation de données massives ; Pensée algorithmique et informatique ; Vie privée et confidentialité ; Interopérabilité</p><br /><p></p>",1,,,,0,null,,64,,
PIX-D1-C3,PIX-D1-C3-L1,"Niveau 1",,1,,,,0,null,,101,,
PIX-D1-C3,PIX-D1-C3-L2,"Niveau 2",,1,,,,0,null,,102,,
PIX-D1-C3,PIX-D1-C3-L3,"Niveau 3",,1,,,,0,null,,103,,
PIX-D1-C3,PIX-D1-C3-L4,"Niveau 4",,1,,,,0,null,,104,,
PIX-D1-C3,PIX-D1-C3-L5,"Niveau 5",,1,,,,0,null,,105,,
,PIX-D2,"COMMUNICATION & COLLABORATION","<p dir=""ltr"" style=""text-align:left;"">traite de ce qui relève du partage et de la publication de contenus,
des interactions et de la collaboration pour coproduire des
ressources, des connaissances ou des données<br /></p>",1,,,,0,null,,58,,
PIX-D2,PIX-D2-C1,Interagir,"<p dir=""ltr"" style=""text-align:left;""></p><p>Interagir avec des individus et de petits groupes pour échanger dans divers contextes liés à la vie privée ou à une activité professionnelle, de façon ponctuelle et récurrente (avec une messagerie électronique, une messagerie instantanée, un système de visio-conférence, etc.).</p><h4>THÉMATIQUES ASSOCIÉES</h4><p>Protocoles pour l'interaction ; Modalités d'interaction et rôles ; Applications et services pour l'interaction ; Vie privée et confidentialité ; Identité numérique et signaux ; Vie connectée ; Codes de communication et netiquette</p><br /><p></p>",1,,,,0,null,,65,,
PIX-D2-C1,PIX-D2-C1-L1,"Niveau 1",,1,,,,0,null,,106,,
PIX-D2,PIX-D2-C2,"Partager et publier","<p dir=""ltr"" style=""text-align:left;""></p><p>Partager et publier des informations et des contenus pour communiquer ses propres productions ou opinions, relayer celles des autres en contexte de communication publique (avec des plateformes de partage, des réseaux sociaux, des blogs, des espaces de forum et de commentaire, des CMS, etc.).</p><h4>THÉMATIQUES ASSOCIÉES</h4><p>Protocoles et modalités de partage ; Applications et services pour le partage ; Règles de publication et visibilité ; Réseaux sociaux ; Liberté d'expression et droit à l'information ; Formation en ligne ; Vie privée et confidentialité ; Identité numérique et signaux ; Pratiques sociales et participation citoyenne ; e- Réputation et influence ; Ecriture pour le web ; Codes de communication et netiquette ; Droit d'auteur</p><br /><p></p>",1,,,,0,null,,66,,
PIX-D2,PIX-D2-C3,Collaborer,"<p dir=""ltr"" style=""text-align:left;""></p><p>Collaborer dans un groupe pour réaliser un projet, co-produire des ressources, des connaissances, des données, et pour apprendre (avec des plateformes de travail collaboratif et de partage de document, des éditeurs en ligne, des fonctionnalités de suivi de modifications ou de gestion de versions, etc.).</p><h4>THÉMATIQUES ASSOCIÉES</h4><p>Modalités de collaboration et rôles ; Applications et services de partage de document et d'édition en ligne ; Versions et révisions ; Droits d'accès et conflit d'accès ; Gestion de projet ; Droit d'auteur ; Vie connectée ; Vie privée et confidentialité</p><br /><p></p>",1,,,,0,null,,67,,
